Piece,Side,page,row,column,side number,In_Out,Matched,Matched_side,Width,Height,symetry,m,c,head_flatness,
Page_0001_5_1,Page_0001_5_1_4_in,0001,5,1,4,in,0,,261.0938529,261.0938529,0.468578554,-0.030449438,45.55239838,,
Page_0001_5_2,Page_0001_5_2_1_in,0001,5,2,1,in,0,,205.5066909,205.5066909,0.4901854,0.092155473,26.92014001,,
Page_0001_5_2,Page_0001_5_2_2_out,0001,5,2,2,out,1,Page_0001_5_1_2_in,271.001845,271.001845,0.655891724,0.120382615,17.03569062,,
Page_0001_5_2,Page_0001_5_2_3_in,0001,5,2,3,in,0,,201.0223868,201.0223868,0.601410542,0.185442498,14.96583608,,
Page_0001_5_2,Page_0001_5_2_4_out,0001,5,2,4,out,0,,301.0066444,301.0066444,0.413961702,-0.051565716,45.48657873,,
Page_0001_5_3,Page_0001_5_3_1_out,0001,5,3,1,out,0,,217.278623,217.278623,0.610908706,0.086275775,20.07588003,,
Page_0001_5_3,Page_0001_5_3_2_in,0001,5,3,2,in,1,Page_0001_5_4_2_out,293.3342803,293.3342803,0.45779534,-0.006670336,38.43577654,,
Page_0001_5_3,Page_0001_5_3_3_out,0001,5,3,3,out,0,,200.0924786,200.0924786,0.44801059,0.137060167,27.13848804,,
Page_0001_5_3,Page_0001_5_3_4_in,0001,5,3,4,in,0,,236.1355543,236.1355543,0.570516499,0.02407479,28.3171486,,
Page_0001_5_4,Page_0001_5_4_1_in,0001,5,4,1,in,0,,200.6389793,200.6389793,0.571343402,0.038963738,23.48042592,,
Page_0001_5_4,Page_0001_5_4_2_out,0001,5,4,2,out,1,Page_0001_5_3_2_in,304.7244657,304.7244657,0.456174548,-0.110156829,60.1104154,,
Page_0001_5_4,Page_0001_5_4_3_in,0001,5,4,3,in,0,,203.7964671,203.7964671,0.448944213,0.002780029,29.71622598,,
Page_0001_5_4,Page_0001_5_4_4_out,0001,5,4,4,out,0,,269.4754163,269.4754163,0.602806505,0.050762857,26.79441872,,
Page_0001_5_5,Page_0001_5_5_1_in,0001,5,5,1,in,0,,197.2054766,197.2054766,0.420287992,-0.051373782,30.50148676,,
Page_0001_5_5,Page_0001_5_5_2_out,0001,5,5,2,out,1,Page_0001_5_6_2_in,241.8677324,241.8677324,0.596923077,0.0584223,23.34599249,,
Page_0001_5_5,Page_0001_5_5_3_in,0001,5,5,3,in,0,,201.7176244,201.7176244,0.592479725,0.07835913,20.94060826,,
Page_0001_5_5,Page_0001_5_5_4_out,0001,5,5,4,out,0,,271.064568,271.064568,0.453045893,-0.180166527,67.98583058,,
Page_0001_5_6,Page_0001_5_6_1_out,0001,5,6,1,out,0,,216.0833173,216.0833173,0.37458237,-0.165774493,47.45243559,,
Page_0001_5_6,Page_0001_5_6_2_in,0001,5,6,2,in,1,Page_0001_5_5_2_out,235.1361308,235.1361308,0.637522835,0.14284007,16.51001336,,
Page_0001_5_6,Page_0001_5_6_3_out,0001,5,6,3,out,0,,225.0088887,225.0088887,0.655513638,0.104303304,17.60609572,,
Page_0001_5_6,Page_0001_5_6_4_in,0001,5,6,4,in,0,,229.0087335,229.0087335,0.459605301,-0.131693985,54.62381601,,
Page_0001_5_7,Page_0001_5_7_1_in,0001,5,7,1,in,0,,192.8419042,192.8419042,0.574701517,0.081236923,22.88709974,,
Page_0001_5_7,Page_0001_5_7_2_out,0001,5,7,2,out,0,,288.3834253,288.3834253,0.51956953,-0.100261381,50.9526084,,
Page_0001_5_7,Page_0001_5_7_3_in,0001,5,7,3,in,0,,216.3908501,216.3908501,0.428873465,-0.01582581,29.41924784,,
Page_0001_5_7,Page_0001_5_7_4_out,0001,5,7,4,out,0,,256.2810957,256.2810957,0.588915956,0.054323266,27.6352698,,
Page_0002_1_1,Page_0002_1_1_1_in,0002,1,1,1,in,0,,256.322063,256.322063,0.477800947,-0.042981466,40.76276839,,
Page_0002_1_1,Page_0002_1_1_2_out,0002,1,1,2,out,0,,219.8226558,219.8226558,0.59246306,0.177171278,8.466767629,,
Page_0002_1_1,Page_0002_1_1_3_in,0002,1,1,3,in,0,,238.0021008,238.0021008,0.434089505,-0.068293632,44.11021536,,
Page_0002_1_1,Page_0002_1_1_4_out,0002,1,1,4,out,0,,190,190,0.378947368,-0.127260508,42.84948715,,
Page_0002_1_2,Page_0002_1_2_1_in,0002,1,2,1,in,0,,222.4410034,222.4410034,0.481689572,0.01239615,35.15611474,,
Page_0002_1_2,Page_0002_1_2_2_out,0002,1,2,2,out,0,,197.4968354,197.4968354,0.539930778,0.185166487,14.96474018,,
Page_0002_1_2,Page_0002_1_2_3_in,0002,1,2,3,in,0,,201.0621794,201.0621794,0.584129026,0.067166314,25.79230593,,
Page_0002_1_2,Page_0002_1_2_4_out,0002,1,2,4,out,0,,215.0581317,215.0581317,0.447891892,-0.122433932,41.93464178,,
Page_0002_1_3,Page_0002_1_3_1_in,0002,1,3,1,in,0,,260.4323329,260.4323329,0.582970881,0.096283023,22.11662373,,
Page_0002_1_3,Page_0002_1_3_2_out,0002,1,3,2,out,0,,214.7556751,214.7556751,0.598005204,0.040044943,26.13526446,,
